Game Name;Release Name;Package Name;Version Code;Last Updated;Size (MB)
ToeToToePartyGames ;ToeToToePartyGames v88+1.88 -FFA;hu.phonesoftware.toetotoepartygames;88;2022-09-29 19:41 UTC;230
Void Racer Extreme ;Void Racer Extreme v123+1.23 -FFA;com.coplanar.vre;123;2022-05-16 18:43 UTC;317
Holopoint ;Holopoint v132+R1.1.08 -VRP;com.AlzanStudios.HPPortable;132;2021-08-19 23:18 UTC;129
Escape! ;Escape! v2+1.01 -unknown;com.Robbin12392.Escape;2;2021-06-05 07:46 UTC;92
Elven Assassin ;Elven Assassin v169+1.5.0j_OculusQuest -FFA;com.WenklyStudio.ElvenAssassin;169;2022-11-26 10:28 UTC;3636
Onward ;Onward v11589+1.9.2 -FFA;com.downpourinteractive.onward;11589;2022-11-22 21:36 UTC;3410
IslandTime ;IslandTime v7+1.0 -FFA;com.Flightschool.IslandTimeVR;7;2022-06-08 02:37 UTC;230
Galactic Bar Fight ;Galactic Bar Fight v44+2.1 -FFA;com.jhjgames.barfightdemo;44;2022-10-22 21:31 UTC;619
Traffic Jams ;Traffic Jams v21050311+1.0.21050311 -QU;nl.littlechicken.trafficjams.quest;21050311;2021-06-05 12:23 UTC;841
TowerDefender ;TowerDefender v307+3.07 -FFA;com.state.conquer.puzzle.strategy;307;2022-11-24 11:31 UTC;453
Rainbow Reactor Fusion ;Rainbow Reactor Fusion v107+1.0.4 -FFA;com.Tunermaxx.RiseoftheRainbowReactor;107;2021-11-20 21:27 UTC;538
Arizona Sunshine ;Arizona Sunshine v21895+1.6.21895 -FFA;com.vertigogames.azsq;21895;2022-11-11 10:33 UTC;2889
BlazeRush ;BlazeRush v302+1.0.302 -FFA;ru.targem.blazerush;302;2022-06-10 18:41 UTC;958
Crisis Brigade 2 Reloaded ;Crisis Brigade 2 Reloaded v83+1.8 -FFA;com.sumalab.CrisisBrigade2reloaded;83;2022-10-09 17:33 UTC;4194
Shooty Fruity ;Shooty Fruity v18+1.0 -QU;com.ndreams.shootyfruity;18;2021-06-05 10:48 UTC;2644
Starfighter Arduxim ;Starfighter Arduxim v69+2.4 -FFA;com.FulTech.StarfighterArduximQuest;69;2022-02-08 18:44 UTC;1067
ThirdEye ;ThirdEye v15+0.024 -FFA;com.YueWorks.ThirdEye;15;2022-11-17 20:32 UTC;2688
SUPERHOT VR ;SUPERHOT VR v140+1.14 -QU;unity.SUPERHOT_Team.SUPERHOT_VR_QA;140;2021-06-05 10:39 UTC;547
Half-Life 1 VR - Blue Shift ;Half-Life 1 VR - Blue Shift v27+1.4.9 -DrBeef;com.drbeef.lambda1vr;27;2021-09-16 04:01 UTC;1631
OnStage Simulator ;OnStage Simulator v1+0.72 -unknown;com.COMPOS3D.OnStage;1;2021-06-05 09:32 UTC;109
On Target VR Darts ;On Target VR Darts v452+1.4.17 -FFA;com.ColugoProductionsInc.OnTargetVRDarts;452;2022-06-17 06:44 UTC;635
PONG ;PONG v34+0.9 -FFA;com.studiohaimi.pong;34;2021-10-12 10:04 UTC;293
Atlas ;Atlas v263+1.8 -FFA;com.TRC.Atlas;263;2022-07-31 09:42 UTC;1008
Dissection Simulator - Cat Edition ;Dissection Simulator - Cat Edition v1+1.0 -QU;com.VictoryXR.CatDissection;1;2021-10-10 04:09 UTC;1297
Pandemic by Prisms ;Pandemic by Prisms v180+0.5.61 -QU;com.prismsvr.pandemicbyprisms;180;2021-06-05 09:37 UTC;849
Movin Force ;Movin Force v1+0.0.1 -FFA;com.KeironInteractive.MovinForce;1;2021-12-27 02:45 UTC;405
End Space ;End Space v26+1.0.6.1 -FFA;com.endspace.quest;26;2022-03-08 12:18 UTC;589
